Annee;Mois;Date;Gare;Nature;Type
2013;10;2013-10;Strasbourg;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;11;2013-11;Lille Europe;Autres articles de papeterie;Livres, articles de papéterie
2013;12;2013-12;Strasbourg;Carte de crédit;Porte-monnaie / portefeuille, argent, titres
2013;6;2013-06;Nancy;Lunettes;Optique
2013;8;2013-08;Paris Est;Autre argent;Porte-monnaie / portefeuille, argent, titres
2013;8;2013-08;Nancy;Manteau, veste, blazer, parka, blouson, cape;Vêtements, chaussures
2013;8;2013-08;Strasbourg;Lunettes en étui;Optique
2013;11;2013-11;Paris Montparnasse;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;11;2013-11;Lille Europe;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables
2013;11;2013-11;Strasbourg;Sac à dos;Bagagerie: sacs, valises, cartables
2013;11;2013-11;Strasbourg;Autres appareils et accessoires électroniques (préciser);Appareils électroniques, informatiques, appareils photo
2013;12;2013-12;Marseille Saint-Charles;Manteau, veste, blazer, parka, blouson, cape;Vêtements, chaussures
2013;8;2013-08;Metz Ville;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;8;2013-08;Nancy;Autres vêtements;Vêtements, chaussures
2013;11;2013-11;Saintes;Parapluie-canne, parapluie à bandoulière;Parapluies
2013;11;2013-11;Paris Montparnasse;Foulard, écharpe;Vêtements, chaussures
2013;11;2013-11;Paris Montparnasse;Pull over, gilet;Vêtements, chaussures
2013;11;2013-11;Lille Europe;Sac à dos;Bagagerie: sacs, valises, cartables
2013;11;2013-11;Paris Montparnasse;Pièce d'identité personnelle et autre;Pièces d'identités et papiers personnels
2013;12;2013-12;Strasbourg;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables
2013;6;2013-06;Paris Est;Lunettes;Optique
2013;6;2013-06;Paris Saint-Lazare;Sac à dos;Bagagerie: sacs, valises, cartables
2013;6;2013-06;Strasbourg;Pièce d'identité personnelle et autre;Pièces d'identités et papiers personnels
2013;6;2013-06;Paris Saint-Lazare;Autres divers;Divers
2013;6;2013-06;Strasbourg;Manteau, veste, blazer, parka, blouson, cape;Vêtements, chaussures
2013;6;2013-06;Paris Est;Carte d'identité, passeport, permis de conduire;Pièces d'identités et papiers personnels
2013;6;2013-06;Paris Est;Carte d'identité, passeport, permis de conduire;Pièces d'identités et papiers personnels
2013;6;2013-06;Paris Est;Sac à dos;Bagagerie: sacs, valises, cartables
2013;6;2013-06;Paris Est;Clés, porte-clés;Clés, porte-clés, badge magnétique
2013;8;2013-08;Nancy;Clés, porte-clés;Clés, porte-clés, badge magnétique
2013;10;2013-10;Nancy;Clés, porte-clés;Clés, porte-clés, badge magnétique
2013;12;2013-12;Lyon Part Dieu;Autre livre;Livres, articles de papéterie
2013;6;2013-06;Strasbourg;Sacoche ventrale, banane;Bagagerie: sacs, valises, cartables
2013;6;2013-06;Saint-?tienne Ch?teaucreux;Carte d'abonnement;Pièces d'identités et papiers personnels
2013;6;2013-06;Metz Ville;Lunettes;Optique
2013;10;2013-10;Strasbourg;Attaché-case, serviette;Bagagerie: sacs, valises, cartables
2013;10;2013-10;Paris Saint-Lazare;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;10;2013-10;Strasbourg;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables
2013;10;2013-10;Nancy;Sac à dos;Bagagerie: sacs, valises, cartables
2013;10;2013-10;Strasbourg;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables
2013;10;2013-10;Strasbourg;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Saint-Lazare;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;6;2013-06;Paris Saint-Lazare;Autres divers;Divers
2013;6;2013-06;Paris Saint-Lazare;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;6;2013-06;Paris Saint-Lazare;Lunettes;Optique
2013;6;2013-06;Paris Saint-Lazare;Autres articles de papeterie;Livres, articles de papéterie
2013;6;2013-06;Paris Saint-Lazare;Sac à dos;Bagagerie: sacs, valises, cartables
2013;7;2013-07;Paris Saint-Lazare;Autres divers;Divers
2013;8;2013-08;Strasbourg;Sac à dos;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Marseille Saint-Charles;Autres articles de papeterie;Livres, articles de papéterie
2013;6;2013-06;Nancy;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;8;2013-08;Strasbourg;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;11;2013-11;Strasbourg;Agenda, calendrier;Livres, articles de papéterie
2013;12;2013-12;Paris Montparnasse;Lunettes;Optique
2013;6;2013-06;Strasbourg;Gants;Vêtements, chaussures
2013;6;2013-06;Strasbourg;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;6;2013-06;Strasbourg;Gants;Vêtements, chaussures
2013;8;2013-08;Strasbourg;Sac à main;Bagagerie: sacs, valises, cartables
2013;8;2013-08;Strasbourg;Carte de crédit;Porte-monnaie / portefeuille, argent, titres
2013;8;2013-08;Strasbourg;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;8;2013-08;Strasbourg;Autres vêtements;Vêtements, chaussures
2013;8;2013-08;Paris Est;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;8;2013-08;Paris Est;Carte d'identité, passeport, permis de conduire;Pièces d'identités et papiers personnels
2013;8;2013-08;Strasbourg;Parapluie télescopique, parapluie de poche;Parapluies
2013;8;2013-08;Paris Est;Autres divers;Divers
2013;8;2013-08;Strasbourg;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;11;2013-11;Paris Montparnasse;Lunettes;Optique
2013;11;2013-11;Paris Gare du Nord;Autres divers;Divers
2013;11;2013-11;Strasbourg;Attaché-case, serviette;Bagagerie: sacs, valises, cartables
2013;11;2013-11;Paris Montparnasse;Clés, porte-clés;Clés, porte-clés, badge magnétique
2013;11;2013-11;Lille Europe;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables
2013;11;2013-11;Strasbourg;Carte d'abonnement;Pièces d'identités et papiers personnels
2013;11;2013-11;Toulon;Ordinateur, ordinateur portable, notebook;Appareils électroniques, informatiques, appareils photo
2013;12;2013-12;Lille Europe;Autres articles de papeterie;Livres, articles de papéterie
2013;12;2013-12;Lille Europe;Manteau, veste, blazer, parka, blouson, cape;Vêtements, chaussures
2013;12;2013-12;Lille Europe;Cartable, trousse d'écolier, dossier scolaire;Articles d'enfants, de puériculture
2013;12;2013-12;Lille Europe;Sac à dos;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Montparnasse;Autres vêtements;Vêtements, chaussures
2013;12;2013-12;Strasbourg;Autres articles médicaux (préciser);Articles médicaux
2013;12;2013-12;Strasbourg;Doudou, peluche;Articles d'enfants, de puériculture
2013;12;2013-12;Lyon Perrache;Sac à dos;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Lyon Perrache;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Montparnasse;Autre pièce ou papier personnel;Pièces d'identités et papiers personnels
2013;12;2013-12;Paris Montparnasse;Pièce d'identité personnelle et autre;Pièces d'identités et papiers personnels
2013;12;2013-12;Paris Montparnasse;Pièce d'identité personnelle et autre;Pièces d'identités et papiers personnels
2013;8;2013-08;Paris Est;Appareils audio portables (lecteur de CD, baladeur MP3, iPod, etc. );Appareils électroniques, informatiques, appareils photo
2013;8;2013-08;Paris Est;Sac à main;Bagagerie: sacs, valises, cartables
2013;11;2013-11;Strasbourg;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;11;2013-11;Marseille Saint-Charles;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;11;2013-11;Paris Montparnasse;Autres divers;Divers
2013;12;2013-12;Paris Montparnasse;Foulard, écharpe;Vêtements, chaussures
2013;12;2013-12;Strasbourg;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Gare du Nord;Autre pièce ou papier personnel;Pièces d'identités et papiers personnels
2013;12;2013-12;Lille Europe;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables
2013;6;2013-06;Strasbourg;Clés, porte-clés;Clés, porte-clés, badge magnétique
2013;8;2013-08;Nancy;Attaché-case, serviette;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Metz Ville;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;12;2013-12;Metz Ville;Lunettes en étui;Optique
2013;12;2013-12;Marseille Saint-Charles;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;12;2013-12;Marseille Saint-Charles;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Strasbourg;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;12;2013-12;Lille Europe;Ordinateur, ordinateur portable, notebook;Appareils électroniques, informatiques, appareils photo
2013;6;2013-06;Paris Est;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;6;2013-06;Strasbourg;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables
2013;6;2013-06;Strasbourg;Autres vêtements;Vêtements, chaussures
2013;6;2013-06;Strasbourg;Bonnet, chapeau;Vêtements, chaussures
2013;6;2013-06;Paris Est;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;6;2013-06;Paris Est;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;11;2013-11;;Autre pièce ou papier personnel;Pièces d'identités et papiers personnels
2013;11;2013-11;Paris Montparnasse;Autre pièce ou papier personnel;Pièces d'identités et papiers personnels
2013;12;2013-12;Strasbourg;Attaché-case, serviette;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Gare du Nord;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;12;2013-12;Metz Ville;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;6;2013-06;Paris Est;Article de papéterie, stylo, classeur;Livres, articles de papéterie
2013;6;2013-06;Strasbourg;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;6;2013-06;Strasbourg;Manteau, veste, blazer, parka, blouson, cape;Vêtements, chaussures
2013;6;2013-06;Strasbourg;Sacs de couchage, duvet;Articles de sport, loisirs, camping
2013;6;2013-06;Strasbourg;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables
2013;7;2013-07;Strasbourg;Lunettes en étui;Optique
2013;11;2013-11;Lille Europe;Carte d'abonnement;Pièces d'identités et papiers personnels
2013;12;2013-12;Strasbourg;Clés, porte-clés;Clés, porte-clés, badge magnétique
2013;5;2013-05;Paris Saint-Lazare;Autres divers;Divers
2013;5;2013-05;Paris Est;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;6;2013-06;Saint-?tienne Ch?teaucreux;Billets SNCF;Pièces d'identités et papiers personnels
2013;6;2013-06;Strasbourg;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;7;2013-07;Strasbourg;Autres divers;Divers
2013;7;2013-07;Paris Saint-Lazare;Sac à dos;Bagagerie: sacs, valises, cartables
2013;7;2013-07;Paris Saint-Lazare;Autres divers;Divers
2013;12;2013-12;Lille Europe;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Marseille Saint-Charles;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Austerlitz;Carte d'identité, passeport, permis de conduire;Pièces d'identités et papiers personnels
2013;12;2013-12;Paris Saint-Lazare;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;12;2013-12;Paris Saint-Lazare;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;12;2013-12;Paris Saint-Lazare;Autre pièce ou papier personnel;Pièces d'identités et papiers personnels
2013;12;2013-12;Paris Saint-Lazare;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;12;2013-12;Lille Europe;Pièce d'identité personnelle et autre;Pièces d'identités et papiers personnels
2013;12;2013-12;Strasbourg;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Montparnasse;Autres divers;Divers
2013;12;2013-12;Lyon Perrache;Autres divers;Divers
2013;6;2013-06;Strasbourg;Sac à dos;Bagagerie: sacs, valises, cartables
2013;6;2013-06;Strasbourg;Etui à lunettes vide;Optique
2013;7;2013-07;Metz Ville;Autres articles de sport, de loisirs ou de camping (préciser);Articles de sport, loisirs, camping
2013;8;2013-08;Paris Saint-Lazare;Autres instruments de musique;Instruments de musique
2013;10;2013-10;Paris Saint-Lazare;Sacoche ventrale, banane;Bagagerie: sacs, valises, cartables
2013;10;2013-10;Saint-?tienne Ch?teaucreux;Clés, porte-clés;Clés, porte-clés, badge magnétique
2013;11;2013-11;Angers Saint-Laud;Pièce d'identité personnelle et autre;Pièces d'identités et papiers personnels
2013;11;2013-11;Paris Montparnasse;Carte d'identité, passeport, permis de conduire;Pièces d'identités et papiers personnels
2013;11;2013-11;Saint-?tienne Ch?teaucreux;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;12;2013-12;Lille Europe;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;6;2013-06;Nancy;Pull over, gilet;Vêtements, chaussures
2013;6;2013-06;Strasbourg;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables
2013;6;2013-06;Strasbourg;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;6;2013-06;Strasbourg;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;6;2013-06;Strasbourg;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;6;2013-06;Paris Saint-Lazare;Carte de crédit;Porte-monnaie / portefeuille, argent, titres
2013;7;2013-07;Paris Est;Autres divers;Divers
2013;7;2013-07;Strasbourg;Manteau, veste, blazer, parka, blouson, cape;Vêtements, chaussures
2013;7;2013-07;Strasbourg;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;7;2013-07;Strasbourg;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;8;2013-08;Nancy;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;8;2013-08;Strasbourg;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;8;2013-08;Strasbourg;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;8;2013-08;Saint-?tienne Ch?teaucreux;Carte d'abonnement;Pièces d'identités et papiers personnels
2013;8;2013-08;Paris Est;Clés, porte-clés;Clés, porte-clés, badge magnétique
2013;8;2013-08;Paris Saint-Lazare;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;10;2013-10;Strasbourg;Lunettes;Optique
2013;11;2013-11;Strasbourg;Autres vêtements;Vêtements, chaussures
2013;11;2013-11;Lille Europe;Lunettes;Optique
2013;11;2013-11;Lille Europe;Autres divers;Divers
2013;12;2013-12;Paris Montparnasse;Autres vêtements;Vêtements, chaussures
2013;12;2013-12;Toulouse Matabiau;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Strasbourg;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;7;2013-07;Strasbourg;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;7;2013-07;Strasbourg;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables
2013;7;2013-07;Strasbourg;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;7;2013-07;Strasbourg;Nécessaire, mallette de toilette, sac de maquillage;Bagagerie: sacs, valises, cartables
2013;8;2013-08;Strasbourg;Pull over, gilet;Vêtements, chaussures
2013;8;2013-08;Metz Ville;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;8;2013-08;Strasbourg;Bonnet, chapeau;Vêtements, chaussures
2013;8;2013-08;Metz Ville;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;8;2013-08;Strasbourg;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;8;2013-08;Strasbourg;Lunettes;Optique
2013;11;2013-11;Metz Ville;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;11;2013-11;Paris Saint-Lazare;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;11;2013-11;Paris Gare du Nord;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;11;2013-11;Metz Ville;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables
2013;6;2013-06;Strasbourg;Autres articles de papeterie;Livres, articles de papéterie
2013;6;2013-06;Strasbourg;Article de papéterie, stylo, classeur;Livres, articles de papéterie
2013;6;2013-06;Strasbourg;Carte d'abonnement;Pièces d'identités et papiers personnels
2013;6;2013-06;Strasbourg;Sac à main;Bagagerie: sacs, valises, cartables
2013;7;2013-07;Paris Est;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;12;2013-12;Metz Ville;Clés, porte-clés;Clés, porte-clés, badge magnétique
2013;12;2013-12;Toulouse Matabiau;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Metz Ville;Clés, porte-clés;Clés, porte-clés, badge magnétique
2013;12;2013-12;Metz Ville;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;12;2013-12;Paris Saint-Lazare;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;9;2013-09;Nancy;Lunettes;Optique
2013;9;2013-09;Strasbourg;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;9;2013-09;Strasbourg;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;10;2013-10;Nancy;Manteau, veste, blazer, parka, blouson, cape;Vêtements, chaussures
2013;11;2013-11;Paris Montparnasse;Autre pièce ou papier personnel;Pièces d'identités et papiers personnels
2013;11;2013-11;Paris Montparnasse;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;11;2013-11;Strasbourg;Bonnet, chapeau;Vêtements, chaussures
2013;11;2013-11;Paris Gare du Nord;Autres divers;Divers
2013;11;2013-11;Paris Montparnasse;Carte d'abonnement;Pièces d'identités et papiers personnels
2013;11;2013-11;Paris Montparnasse;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;11;2013-11;Metz Ville;Sac à dos;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Lille Europe;Sac à dos;Bagagerie: sacs, valises, cartables
2013;9;2013-09;Paris Est;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;9;2013-09;Paris Est;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;10;2013-10;Paris Saint-Lazare;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;11;2013-11;Paris Montparnasse;Lunettes;Optique
2013;11;2013-11;Paris Montparnasse;Lunettes en étui;Optique
2013;11;2013-11;Lille Europe;Autres appareils et accessoires électroniques (préciser);Appareils électroniques, informatiques, appareils photo
2013;11;2013-11;Lille Europe;Gants;Vêtements, chaussures
2013;11;2013-11;Lille Europe;Autre pièce ou papier personnel;Pièces d'identités et papiers personnels
2013;11;2013-11;Lille Europe;Manteau, veste, blazer, parka, blouson, cape;Vêtements, chaussures
2013;11;2013-11;Strasbourg;Bague;Bijoux, montres
2013;9;2013-09;Paris Saint-Lazare;Autres vêtements;Vêtements, chaussures
2013;10;2013-10;Paris Montparnasse;Lunettes en étui;Optique
2013;10;2013-10;Saint-?tienne Ch?teaucreux;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;10;2013-10;Strasbourg;Bonnet, chapeau;Vêtements, chaussures
2013;10;2013-10;Strasbourg;Sac à dos;Bagagerie: sacs, valises, cartables
2013;10;2013-10;Paris Montparnasse;Autre petit véhicule;Vélos, trottinettes, accessoires 2 roues
2013;11;2013-11;Paris Saint-Lazare;Autres articles de papeterie;Livres, articles de papéterie
2013;11;2013-11;Paris Montparnasse;Autre pièce ou papier personnel;Pièces d'identités et papiers personnels
2013;11;2013-11;Angoulême;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;11;2013-11;Paris Gare du Nord;Ordinateur, ordinateur portable, notebook;Appareils électroniques, informatiques, appareils photo
2013;11;2013-11;Paris Gare du Nord;Pièce d'identité personnelle et autre;Pièces d'identités et papiers personnels
2013;11;2013-11;Lille Europe;Bonnet, chapeau;Vêtements, chaussures
2013;11;2013-11;Saint-?tienne Ch?teaucreux;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables
2013;11;2013-11;Lille Europe;Bonnet, chapeau;Vêtements, chaussures
2013;11;2013-11;Toulon;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;9;2013-09;Strasbourg;Foulard, écharpe;Vêtements, chaussures
2013;9;2013-09;Strasbourg;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables
2013;9;2013-09;Paris Saint-Lazare;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;11;2013-11;Nancy;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;11;2013-11;Paris Montparnasse;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
